Medicine_Name,Category,Price,Stocks_Available_Last_2Weeks,Stocks_Sold_Last_2Weeks,Predicted_Demand_Next_2Weeks
Hydrochlorothiazide 25mg,Diuretic,106,48,28,26
Clopidogrel 75mg,Heart,192,38,18,17
Azithromycin 500mg,Antibiotic,191,66,53,58
Levothyroxine 50mcg,Thyroid,505,44,28,26
Prednisone 10mg,Inflammation,480,18,8,7
Ranitidine 150mg,AcidityUlcer,395,38,16,15
Albuterol Inhaler,Breathing,435,25,15,18
Warfarin 5mg,BloodClot,240,35,18,17
Doxycycline 100mg,Antibiotic,214,36,23,26
Fluconazole 150mg,Antifungal,132,28,26,25
Furosemide 40mg,Diuretic,490,25,23,22
Montelukast 10mg,BreathingAllergy,405,68,33,35
Naproxen 500mg,PainInflammation,268,55,43,46
Ciprofloxacin 500mg,Antibiotic,124,48,36,38
Paracetamol 500mg,FeverPain,209,145,112,117
Amoxicillin 250mg,Antibiotic,329,70,55,60
Lisinopril 10mg,BloodPressure,187,52,42,40
Metformin 500mg,Diabetes,352,120,85,82
Ibuprofen 400mg,PainInflammation,210,98,70,73
Omeprazole 20mg,AcidityUlcer,229,80,45,42
Loratadine 10mg,Allergy,421,32,24,27
Simvastatin 20mg,Cholesterol,415,63,34,33
Cetirizine 10mg,Allergy,14,52,29,31
Aspirin 81mg,PainHeart,345,46,18,17
Atorvastatin 10mg,Cholesterol,240,52,36,34
Hydrochlorothiazide 25mg,Diuretic,103,50,25,23
Clopidogrel 75mg,Heart,189,40,16,15
Azithromycin 500mg,Antibiotic,194,64,50,55
Levothyroxine 50mcg,Thyroid,508,42,26,24
Prednisone 10mg,Inflammation,485,15,6,5
Ranitidine 150mg,AcidityUlcer,390,40,14,13
Albuterol Inhaler,Breathing,440,23,13,16
Warfarin 5mg,BloodClot,235,38,16,15
Doxycycline 100mg,Antibiotic,217,34,20,23
Fluconazole 150mg,Antifungal,135,25,23,22
Furosemide 40mg,Diuretic,495,20,20,19
Montelukast 10mg,BreathingAllergy,400,70,30,32
Naproxen 500mg,PainInflammation,271,52,40,43
Ciprofloxacin 500mg,Antibiotic,127,45,33,35
Paracetamol 500mg,FeverPain,212,142,110,115
Amoxicillin 250mg,Antibiotic,326,68,50,55
Lisinopril 10mg,BloodPressure,190,48,38,36
Metformin 500mg,Diabetes,355,125,80,77
Ibuprofen 400mg,PainInflammation,207,102,65,68
Omeprazole 20mg,AcidityUlcer,226,85,40,37
Loratadine 10mg,Allergy,424,30,22,25
Simvastatin 20mg,Cholesterol,410,66,30,29
Cetirizine 10mg,Allergy,16,56,25,27
Aspirin 81mg,PainHeart,340,50,15,14
Atorvastatin 10mg,Cholesterol,243,48,30,28
Hydrochlorothiazide 25mg,Diuretic,100,55,20,18
Clopidogrel 75mg,Heart,186,45,10,9
Azithromycin 500mg,
